title,year,description,genre,rating,users_rating,votes,languages,directors,actors,runtime,rating_float,image
9 Naga,2006,"Three friends since childhood earn a living by working as assassins. The more they did, the more they realized that the work did not promise a better future. Suddenly, an event made them change and tried to correct their past mistakes.",Crime,17+,6.5,119.0,Indonesian,Rudy Soedjarwo,"['Donny Alamsyah', 'Fauzi Baadila', 'Dorman Borisman', 'Ajeng Sardi', 'Lukman Sardi', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",104.0,17.0,
Pocong 2,2006,Two sisters find themselves haunted by an evil spirit.,Horror,D,6.5,139.0,Indonesian,Rudy Soedjarwo,"['Revalina S. Temat', 'Ringgo Agus Rahman', 'Henidar Amroe', 'Agung Basuki', 'Vedie Bellamy', 'Fadiptya Hadi', 'Ronald Kansil', 'Eddie Karsito', 'Otig Pakis', 'Dwi Sasono', 'Risty Tagor', nan, nan, nan, nan]",98.0,21.0,
Mirror,2005,A high school girl named Kikan began to see dead people through the mirrors.,Horror,D,6.9,71.0,Indonesian,Hanny Saputra,"['Nirina Zubir', 'Jonathan Lesmana', 'Ichi Nuraini', 'Vida Sylvia Pasaribu', 'Henidar Amroe', 'Unique Priscilla', 'Indra Brasco', 'Joshua Pandelaki', 'Ira Wibowo', 'M. Leo Lumanto', 'Salwa Shahab', 'Irshadi Bagas', 'Ayez Kassar', nan, nan]",112.0,21.0,
Without Mercy,1995,An ex-marine is framed for murder by an ex-officer not running illegal activities including a slave ring and bare knuckle brawls.,Action,R,5.1,88.0,English,Robert Chappell,"['Frank Zagarino', 'Ayu Azhari', 'Martin Kove', 'Frans Tumbuan', 'Advent Bangun', 'Yoshep Hungan', 'H.I.M. Damsyik', 'Anna M. Tarigan', 'Eddy Hansudi', 'John Honeyben', 'Silva Sandiarin', 'Diaz Tangkilisan', 'Titi Suwarino', 'Jurex Kline', 'Peter Engholm']",90.0,13.0,
Rage and Honor II,1993,"Kris and Preston team up once again to take on powerful gangster Buntao. But, Buntao has problems of his own, dealing with Dazo, another gangster who is on a steady rise to power.",Action,R,5.4,397.0,English,Guy Norris,"['Cynthia Rothrock', 'Richard Norton', 'Patrick Muldoon', 'Frans Tumbuan', 'Ron Vreeken', 'Alex Tumundo', 'John J. Soucy', 'Tanaka', 'Yenny Farida', 'Daniel Cobb', 'Donald Paul Pemrick', 'Don Balfour', 'Graham Stumpf', 'Glenn Ruehland', 'John P. Melfi']",98.0,13.0,
Lady Dragon,1992,"An ex-CIA agent (Kathy Gallagher) living in Indonesia tracks Ludvig Hauptman, the arms dealer who killed her husband. Along the way, she meets a young boy and his grandfather, who teach her in the ways of the Lady Dragon.",Action,R,5.2,470.0,English,David Worth,"['Cynthia Rothrock', 'Richard Norton', 'Robert Ginty', 'Bella Esperance', 'Hengky Tornando', 'Thomas Forcher', 'Pitradjaya Burnama', 'Advent Bangun', 'Diaz Tangkilisan', 'H.I.M. Damsyik', 'Henry Surentu', 'Syarief Friant', 'Edward Rehwinkle', 'Sam S.', 'Tanaka']",97.0,13.0,
Sama Juga Bohong,1986,"Dono, Kasino and Indro is a student boarding house parent Nia (Nia Zulkarnaen) the beautiful girl. Dono and his two friends managed to make the robot to be commercialized. They also met ...",Drama,13+,7.6,25.0,Indonesian,Chaerul Umam,"['Chintami Atmanegara', 'Rina Hasyim', 'Tompoh Salvatore', 'Dono Warkop', 'Indro Warkop', 'Kasino Warkop', 'Nia Zulkarnaen', nan, nan, nan, nan, nan, nan, nan, nan]",98.0,13.0,
Ferocious Female Freedom Fighters,1982,"A female wrestler who has decided that she no longer wants to wrestle, but whose mother (a former wrestler herself) wants her to keep wrestling to make money so her brother can have the operation.",Action,R,5.0,210.0,Indonesian,Jopi Burnama,"['Eva Arnaz', 'Barry Prima', 'Leily Sagita', 'Wieke Widowati', 'Ruth Pelupessi', 'Aminah Cendrakasih', 'Pitradjaya Burnama', 'Harri Karisma', 'Malino Djunaedy', 'Ruslan Basrie', 'Anton Burnama', 'Youstine Rais', 'Diana Suarkom', 'Yulie Soleh', 'Marie Yoice']",74.0,13.0,
Pengabdi Setan,1982,A wealthy family who have stopped practicing their Muslim faith are tormented by the undead after their mother dies.,Horror,R,5.6,378.0,Indonesian,Sisworo Gautama Putra,"['Ruth Pelupessi', 'W.D. Mochtar', 'Fachrul Rozy', 'Simon Cader', 'Siska Widowati', 'H.I.M. Damsyik', 'Diana Suarkom', 'Doddy Sukma', 'Ali Albar', 'Adang Mansyur', 'Moesdewyk', 'S. Parya', 'Dewi', nan, nan]",96.0,13.0,
Steel-Fisted Dragon,1981,A kung-fu master hunts down the villain who killed his mother.,Action,R,5.3,24.0,Indonesian,Iksan Lahardi,"['Vita Fatimah', 'Johnny Hong Kong', 'Beng Ito', 'Ronald Kansil', 'Johny Kokong', 'Steve Lee', 'Enden Marlinda', 'Hendro Tangkilisan', nan, nan, nan, nan, nan, nan, nan]",78.0,13.0,
